address,price,bedrooms,bathrooms,surface,url,location,point,latitude,longitude,altitude
"5 Donnybrook Rd, Boston, MA 02135","$2,750",3 bd,2 ba,999 sq ft,https://www.apartments.com/5-donnybrook-rd-boston-ma/rhyk6z3/,"5, Donnybrook Road, Faneuil, Brighton, Boston, Suffolk County, Massachusetts, 02135, United States","(42.35408248177119, -71.15858979568584, 0.0)",42.35408248177119,-71.15858979568584,0.0
"37 Ridgemont St, Boston, MA 02134","$2,600",3 bd,1 ba,,https://www.apartments.com/3-br-1-bath-house-37-ridgemont-st-boston-ma/7fkx6zx/,"37, Ridgemont Street, Allston, Boston, Suffolk County, Massachusetts, 02134, United States","(42.35127582632487, -71.14216312306483, 0.0)",42.35127582632487,-71.14216312306483,0.0
"14 Gardner St, Boston, MA 02134","$2,700",3 bd,1 ba,"9,999 sq ft",https://www.apartments.com/14-gardner-st-boston-ma/s1knsd7/,"14, Gardner Street, Koreatown, Allston, Boston, Suffolk County, Massachusetts, 02134, United States","(42.353655, -71.130336, 0.0)",42.353655,-71.130336,0.0
"407 Lowell Ave, Newton, MA 02460","$2,700",3 bd,1 ba,"1,100 sq ft",https://www.apartments.com/407-lowell-ave-newton-ma/z6wbgdy/,"407, Lowell Avenue, Newtonville, Newton, Middlesex County, Massachusetts, 02460, United States","(42.34330739855092, -71.21152041404054, 0.0)",42.34330739855092,-71.21152041404054,0.0
"1834 Beacon St, Brookline, MA 02445","$2,500",2 bd,1 ba,804 sq ft,https://www.apartments.com/2-br-1-bath-house-1834-beacon-st-12a-brookline-ma/95pecv5/,"1834, Beacon Street, Beaconsfield, Brookline, Norfolk County, Massachusetts, 02445, United States","(42.337473833333334, -71.14443666666666, 0.0)",42.33747383333333,-71.14443666666666,0.0
"5 Benson St, Boston, MA 02135","$3,000",3 bd,1 ba,999 sq ft,https://www.apartments.com/5-benson-st-boston-ma/8n4cfn3/,"5, Benson Street, North Brighton, Allston, Boston, Suffolk County, Massachusetts, 02135, United States","(42.35923779591836, -71.1403149387755, 0.0)",42.35923779591836,-71.1403149387755,0.0
"220 Boylston St, Watertown, MA 02472","$2,500",3 bd,1 ba,"2,000 sq ft",https://www.apartments.com/220-boylston-st-watertown-ma/753hvvz/,"220, Boylston Street, East Watertown, Watertown, Middlesex County, Massachusetts, 02472, United States","(42.36896507534028, -71.16433502297909, 0.0)",42.36896507534028,-71.16433502297909,0.0
"20 Lyne Rd, Boston, MA 02135","$2,800",3 bd,1 ba,"9,999 sq ft",https://www.apartments.com/20-lyne-rd-boston-ma/glb7fvy/,"20, Lyne Road, Aberdeen, Brighton, Boston, Suffolk County, Massachusetts, 02135, United States","(42.345747375, -71.1518449375, 0.0)",42.345747375,-71.1518449375,0.0
"472 Western Ave, Boston, MA 02135","$3,000",3 bd,1 ba,999 sq ft,https://www.apartments.com/472-western-ave-boston-ma/mn5wfqj/,"472, Western Avenue, North Brighton, Allston, Boston, Suffolk County, Massachusetts, 02135, United States","(42.361991698628344, -71.14261182846627, 0.0)",42.36199169862834,-71.14261182846627,0.0
"25 Everett St, Boston, MA 02134","$2,250",2 bd,2 ba,750 sq ft,https://www.apartments.com/25-everett-st-boston-ma/k0xd698/,"25, Everett Street, North Brighton, Allston, Boston, Suffolk County, Massachusetts, 02134, United States","(42.35469481965083, -71.13865145786019, 0.0)",42.35469481965083,-71.13865145786019,0.0
